BGC0001106.0_reference vs CP107782.region017
--------------------------------------------
Query       Target                   Identity  Similarity
PRJNA747871_OHT02_27360  PRJNA747871_OG229_12040  0.99      1.00      
PRJNA747871_OHT02_27365  PRJNA747871_OG229_12035  1.00      1.00      
PRJNA747871_OHT02_27370  PRJNA747871_OG229_12030  1.00      1.00      
PRJNA747871_OHT02_27375  PRJNA747871_OG229_12025  1.00      1.00      
OHT02_27380              OG229_12020              1.00      1.00      
OHT02_27380              PRJNA747871_OG229_12115  0.30      0.31      
PRJNA747871_OHT02_27385  PRJNA747871_OG229_12015  0.99      0.99      
PRJNA747871_OHT02_27385  PRJNA747871_OG229_12110  1.00      1.00      
PRJNA747871_OHT02_27390  PRJNA747871_OG229_12010  1.00      1.00      
PRJNA747871_OHT02_27395  PRJNA747871_OG229_12005  0.99      0.99      
PRJNA747871_OHT02_27400  PRJNA747871_OG229_12000  1.00      1.00      
PRJNA747871_OHT02_27405  PRJNA747871_OG229_11995  1.00      1.00      
PRJNA747871_OHT02_27410  PRJNA747871_OG229_11990  0.99      0.99      
PRJNA747871_OHT02_27415  PRJNA747871_OG229_11985  1.00      1.00      
PRJNA747871_OHT02_27420  PRJNA747871_OG229_11980  1.00      1.00      
PRJNA747871_OHT02_27420  PRJNA747871_OG229_12080  0.32      0.53      
PRJNA747871_OHT02_27425  PRJNA747871_OG229_11975  1.00      1.00      
PRJNA747871_OHT02_27430  PRJNA747871_OG229_11970  1.00      1.00      
PRJNA747871_OHT02_27435  PRJNA747871_OG229_11965  1.00      1.00      
PRJNA747871_OHT02_27440  PRJNA747871_OG229_11960  1.00      1.00      
PRJNA747871_OHT02_27445  PRJNA747871_OG229_11955  1.00      1.00      
PRJNA747871_OHT02_27450  PRJNA747871_OG229_11950  1.00      1.00      
PRJNA747871_OHT02_27455  PRJNA747871_OG229_11945  1.00      1.00      
PRJNA747871_OHT02_27460  PRJNA747871_OG229_11940  1.00      1.00      

CP107963.region022 vs CP108974.region019
----------------------------------------
Query                    Target                   Identity  Similarity
PRJNA747871_OHT02_27235  PRJNA747871_OG301_26260  1.00      1.00      
PRJNA747871_OHT02_27240  PRJNA747871_OG301_26265  1.00      1.00      
PRJNA747871_OHT02_27245  PRJNA747871_OG301_26270  1.00      1.00      
PRJNA747871_OHT02_27250  PRJNA747871_OG301_26275  1.00      1.00      
PRJNA747871_OHT02_27255  PRJNA747871_OG301_26280  1.00      1.00      
PRJNA747871_OHT02_27260  PRJNA747871_OG301_26285  1.00      1.00      
PRJNA747871_OHT02_27265  PRJNA747871_OG301_26290  1.00      1.00      
PRJNA747871_OHT02_27270  PRJNA747871_OG301_26295  1.00      1.00      
PRJNA747871_OHT02_27275  PRJNA747871_OG301_26300  1.00      1.00      
