genome_id,gtdb_release,Domain,Phylum,Class,Order,Family,Genus,Species,Organism,genome_id
NBC_00264,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_00264
NBC_00062,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_00062
NBC_00052,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_00052
NBC_00051,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_00051
NBC_01362,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_01362
NBC_01369,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_01369
NBC_01387,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp940670765,s__Streptomyces sp940670765,NBC_01387
NBC_01414,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01414
NBC_01417,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01417
NBC_01418,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01418
NBC_01421,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01421
NBC_01435,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp900091725,s__Streptomyces sp900091725,NBC_01435
NBC_01516,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01516
NBC_01522,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01522
NBC_01543,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01543
NBC_01553,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_01553
NBC_01556,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01556
NBC_01563,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_01563
NBC_01576,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01576
NBC_01582,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01582
NBC_01592,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_01592
NBC_01598,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01598
NBC_01625,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01625
NBC_01626,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01626
NBC_01641,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01641
NBC_01648,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01648
NBC_01650,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_01650
NBC_01651,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01651
NBC_01654,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01654
NBC_01732,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp003846175,s__Streptomyces sp003846175,NBC_01732
NBC_01759,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,anulatus,s__Streptomyces anulatus,NBC_01759
NBC_01766,unknown,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,sp940670765,s__Streptomyces sp940670765,NBC_01766
